b3001_b3002,b3001_b3003,b3001_b3004,b3001_b3005,b3001_b3006,b3001_b3007,b3001_b3008,b3001_b3009,b3001_b3010,b3001_b3011,b3001_b3012,b3001_b3013,b3002_b3003,b3002_b3004,b3002_b3005,b3002_b3006,b3002_b3007,b3002_b3008,b3002_b3009,b3002_b3010,b3002_b3011,b3002_b3012,b3002_b3013,b3003_b3004,b3003_b3005,b3003_b3006,b3003_b3007,b3003_b3008,b3003_b3009,b3003_b3010,b3003_b3011,b3003_b3012,b3003_b3013,b3004_b3005,b3004_b3006,b3004_b3007,b3004_b3008,b3004_b3009,b3004_b3010,b3004_b3011,b3004_b3012,b3004_b3013,b3005_b3006,b3005_b3007,b3005_b3008,b3005_b3009,b3005_b3010,b3005_b3011,b3005_b3012,b3005_b3013,b3006_b3007,b3006_b3008,b3006_b3009,b3006_b3010,b3006_b3011,b3006_b3012,b3006_b3013,b3007_b3008,b3007_b3009,b3007_b3010,b3007_b3011,b3007_b3012,b3007_b3013,b3008_b3009,b3008_b3010,b3008_b3011,b3008_b3012,b3008_b3013,b3009_b3010,b3009_b3011,b3009_b3012,b3009_b3013,b3010_b3011,b3010_b3012,b3010_b3013,b3011_b3012,b3011_b3013,b3012_b3013
0,120,0,123,144,119,0,0,0,0,0,0,120,0,123,144,119,0,0,0,0,0,0,-120,3,24,-1,-120,-120,-120,-120,-120,-120,123,144,119,0,0,0,0,0,0,21,-4,-123,-123,-123,-123,-123,-123,-25,-144,-144,-144,-144,-144,-144,-119,-119,-119,-119,-119,-119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,120,0,122,144,0,0,0,0,0,0,0,120,0,122,144,0,0,0,0,0,0,0,-120,2,24,-120,-120,-120,-120,-120,-120,-120,122,144,0,0,0,0,0,0,0,22,-122,-122,-122,-122,-122,-122,-122,-144,-144,-144,-144,-144,-144,-144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,119,0,126,137,0,0,0,0,0,0,0,119,0,126,137,0,0,0,0,0,0,0,-119,7,18,-119,-119,-119,-119,-119,-119,-119,126,137,0,0,0,0,0,0,0,11,-126,-126,-126,-126,-126,-126,-126,-137,-137,-137,-137,-137,-137,-137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,125,144,0,0,0,0,0,0,0,0,0,125,144,0,0,0,0,0,0,0,0,125,144,0,0,0,0,0,0,0,125,144,0,0,0,0,0,0,0,19,-125,-125,-125,-125,-125,-125,-125,-144,-144,-144,-144,-144,-144,-144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,118,144,0,0,0,0,0,0,0,0,0,118,144,0,0,0,0,0,0,0,0,118,144,0,0,0,0,0,0,0,118,144,0,0,0,0,0,0,0,26,-118,-118,-118,-118,-118,-118,-118,-144,-144,-144,-144,-144,-144,-144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,119,138,0,0,0,0,0,0,0,0,0,119,138,0,0,0,0,0,0,0,0,119,138,0,0,0,0,0,0,0,119,138,0,0,0,0,0,0,0,19,-119,-119,-119,-119,-119,-119,-119,-138,-138,-138,-138,-138,-138,-138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,119,139,0,0,0,0,0,0,0,0,0,119,139,0,0,0,0,0,0,0,0,119,139,0,0,0,0,0,0,0,119,139,0,0,0,0,0,0,0,20,-119,-119,-119,-119,-119,-119,-119,-139,-139,-139,-139,-139,-139,-139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,119,142,0,0,0,0,0,0,0,0,0,119,142,0,0,0,0,0,0,0,0,119,142,0,0,0,0,0,0,0,119,142,0,0,0,0,0,0,0,23,-119,-119,-119,-119,-119,-119,-119,-142,-142,-142,-142,-142,-142,-142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,120,142,0,0,0,0,0,0,0,0,0,120,142,0,0,0,0,0,0,0,0,120,142,0,0,0,0,0,0,0,120,142,0,0,0,0,0,0,0,22,-120,-120,-120,-120,-120,-120,-120,-142,-142,-142,-142,-142,-142,-142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,120,141,124,0,0,0,0,0,0,0,0,120,141,124,0,0,0,0,0,0,0,120,141,124,0,0,0,0,0,0,120,141,124,0,0,0,0,0,0,21,4,-120,-120,-120,-120,-120,-120,-17,-141,-141,-141,-141,-141,-141,-124,-124,-124,-124,-124,-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
